Timestamp,Total Trades,Win Trades,Win Ratio,Total PnL,Max Drawdown,Sharpe Ratio
2024-11-02 15:04:04.126841+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 17:09:33.586176+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 17:20:05.626617+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 17:31:07.320140+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 17:42:09.407828+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 17:52:10.074037+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:03:01.283011+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:13:10.216910+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:24:01.146717+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:34:10.448159+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:45:01.848407+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 18:55:11.001756+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 19:06:01.811399+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 19:17:02.882520+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 19:28:03.616542+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 19:39:04.463808+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 19:50:05.131601+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:01:05.971497+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:12:06.775934+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:23:07.449214+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:34:07.463429+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:45:08.432781+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 20:56:08.898251+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 21:07:00.386771+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 21:17:10.468976+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 21:28:01.261234+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 21:39:02.687066+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 21:50:03.197997+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 22:01:04.865876+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 22:12:06.425059+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 22:23:06.920964+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 22:34:07.814970+00:00,0,0,0.0,0.0,0.0,0.0
2024-11-02 22:45:07.976357+00:00,0,0,0.0,0.0,0.0,0.0
